iter	Passed	Remaining
0	17	2631
1	29	2187
2	43	2130
3	56	2060
4	68	1983
5	81	1951
6	94	1935
7	108	1929
8	122	1912
9	133	1873
10	147	1861
11	162	1865
12	175	1846
13	187	1820
14	199	1792
15	213	1786
16	226	1775
17	240	1764
18	253	1750
19	266	1730
20	280	1721
21	292	1701
22	307	1695
23	319	1677
24	332	1663
25	344	1643
26	359	1637
27	375	1635
28	388	1618
29	400	1600
30	412	1584
31	424	1567
32	438	1555
33	451	1541
34	465	1529
35	478	1516
36	491	1500
37	505	1490
38	518	1474
39	530	1459
40	543	1444
41	556	1431
42	570	1420
43	583	1406
44	597	1394
45	609	1377
46	621	1361
47	634	1348
48	647	1334
49	660	1321
50	674	1308
51	686	1294
52	701	1283
53	712	1267
54	725	1252
55	737	1238
56	750	1224
57	764	1212
58	776	1198
59	789	1184
60	801	1169
61	813	1154
62	826	1141
63	839	1127
64	851	1113
65	865	1101
66	877	1087
67	889	1072
68	902	1059
69	914	1045
70	928	1033
71	940	1018
72	951	1004
73	964	990
74	976	976
75	989	963
76	1002	950
77	1015	937
78	1029	924
79	1041	910
80	1055	899
81	1068	886
82	1081	873
83	1095	860
84	1106	846
85	1119	833
86	1133	820
87	1147	808
88	1163	797
89	1176	784
90	1189	771
91	1202	758
92	1214	744
93	1228	731
94	1240	718
95	1253	705
96	1265	691
97	1278	678
98	1292	665
99	1304	652
100	1316	638
101	1330	626
102	1342	612
103	1355	599
104	1368	586
105	1381	573
106	1395	560
107	1407	547
108	1420	534
109	1433	521
110	1446	508
111	1460	495
112	1472	482
113	1486	469
114	1498	456
115	1510	442
116	1523	429
117	1534	416
118	1546	402
119	1559	389
120	1570	376
121	1583	363
122	1596	350
123	1608	337
124	1622	324
125	1634	311
126	1647	298
127	1660	285
128	1672	272
129	1686	259
130	1699	246
131	1713	233
132	1726	220
133	1738	207
134	1752	194
135	1764	181
136	1777	168
137	1789	155
138	1801	142
139	1816	129
140	1829	116
141	1843	103
142	1855	90
143	1867	77
144	1880	64
145	1893	51
146	1905	38
147	1918	25
148	1930	12
149	1943	0
