ReleaseDate,Metacritic,RecommendationCount,IsFree,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial
2000-11-01,88,68991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
1999-04-01,0,2439,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2003-05-01,79,2319,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2001-06-01,0,888,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
1999-11-01,0,2934,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2000-11-01,0,1965,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
1998-11-08,96,12486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2004-03-01,65,7067,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2001-06-01,71,2219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2004-11-16,96,35792,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2004-11-01,88,53931,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2004-06-01,0,2547,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2010-07-12,80,7185,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2004-11-01,0,4328,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.99
2005-10-27,0,4352,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
2006-05-01,0,864,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2006-06-01,87,4437,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99
2007-10-10,90,27535,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2007-10-10,90,6104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.99
2007-10-10,92,383949,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
2008-11-17,89,9980,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2009-11-16,89,140726,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2013-07-09,90,590480,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.0
2011-04-18,95,73128,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.99
2010-07-19,77,14625,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
2012-08-21,83,1427633,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.99
2005-10-12,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99
2006-03-14,81,1220,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2009-05-14,72,44364,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.99
2006-05-10,75,385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.99
2005-07-14,84,444,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.99
2006-08-23,75,1240,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.99
2006-09-29,84,1655,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.99
2008-09-19,76,340,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.99
2006-02-07,82,112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.99
2006-02-07,79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.99
2006-07-06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.99
2006-07-06,80,299,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.49
2006-07-06,84,400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.49
2006-07-26,56,210,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.99
