,designation
Reserve,1442
Reserva,1239
Estate,984
Riserva,456
Estate Grown,446
Barrel sample,375
Dry,371
Brut,353
Crianza,340
Vieilles Vignes,303
Estate Bottled,270
Gran Reserva,253
Barrel Sample,252
Brut Rosé,233
Tradition,232
Old Vine,162
Rosé of,156
Réserve,150
Rosé,137
Vintage,119
Single Vineyard,118
Classic,109
Estate Reserve,105
Late Bottled Vintage,99
Barrel Select,97
Blanc de Blancs Brut,90
Stillwater Creek Vineyard,90
Late Harvest,88
Cuvée Prestige,87
Unoaked,85
Old Vines,78
Tinto,77
Signature,76
Barrel Fermented,73
Extra Dry,72
Prestige,71
Semi-Dry,69
Roble,68
Collection,67
Trocken,64
Limited Release,61
Ciel du Cheval Vineyard,61
Blanc de Blancs,60
Grand Reserve,59
Bien Nacido Vineyard,57
Colheita,57
Premium,55
Estate Vineyard,55
Boushey Vineyard,50
Rosé Brut,47
Private Reserve,45
Selección,44
Bussia,44
Shea Vineyard,44
Gap's Crown Vineyard,43
Proprietor's Reserve,43
Dutton Ranch,43
Proprietary,42
Sangiacomo Vineyard,42
Cannubi,42
Alpha,41
Cuvée Tradition,41
Made With Organic Grapes,41
Brut Réserve,40
Estate Vineyards,39
Kabinett,39
Les Clos Grand Cru,38
Nouveau,38
Grande Réserve,38
Rosso,38
Reserva Branco,38
Extra Brut,37
Reserva Estate Bottled,37
Vintner's Reserve,37
Cold Creek Vineyard,37
Vendimia Seleccionada,36
Limited Edition,36
Special Reserve,36
Grand Estates,36
Seven Hills Vineyard,36
Branco,35
Durell Vineyard,35
Premier Cru,35
Les Collines Vineyard,35
Bacigalupi Vineyard,34
Marques de Casa Concha,34
Steirische Klassik,34
Broquel,34
Grand Vin,33
Fourchaume Premier Cru,33
Family Reserve,33
Organic,32
Sur Lie,32
Grande Reserva,32
Blanc de Noirs,31
Terrassen,31
Cuvée,31
Reserva de Familia,30
Oak Cask,30
Blanc de Noirs Brut,30
Champoux Vineyard,30
Pfersigberg Grand Cru,30
Estate Selection,30
Soberanes Vineyard,29
Traditions,29
Semi Dry,29
Icewine,29
Brut Reserva,29
Celilo Vineyard,29
Q,29
Ice Wine,28
Pinot Noir,28
Bianco,28
Indian Wells,28
Winemaker's Reserve,28
Rosenberg,28
Stagecoach Vineyard,28
Schoenenbourg Grand Cru,28
Natura,27
Red Wine,27
Bernkasteler Badstube Kabinett,27
Unfiltered,27
Les Charmes,27
Made with Organic Grapes,27
Colección,26
Gallina,26
Gaisberg Reserve,26
Spätlese,26
Freedom Hill Vineyard,26
The Reserve,26
Rosado,26
Colheita Seleccionada,25
Edición Limitada,25
Joven,25
Coro Mendocino,25
Gran Selezione,25
Renaissance,25
Grande Cuvée,25
Blanco,25
Selection,25
Heritage,25
Brut Nature,25
Reserva Especial,25
Buissonnier,25
H3,24
Conner Lee Vineyard,24
Terrassen Federspiel,24
Le Clos,24
Rosella's Vineyard,24
Alte Reben,24
Sierra Mar Vineyard,24
Monvigliero,24
Vintage Brut,24
La Encantada Vineyard,24
1865 Single Vineyard,23
Paragon Vineyard,23
Classic Series,23
Sec,23
Heiligenstein Reserve,23
Les Princes Abbés,23
Max Reserva,23
Kosher,23
Veni Vidi Vici,23
Blanc,23
Sierra Madre Vineyard,23
Selección Especial,23
Klassik,22
Vaudésir Grand Cru,22
Monarch Mine Vineyard,22
Rose of,22
Hybrid,22
Sélection,22
120,22
Cefiro Reserva,22
Eiswein,22
Hatschbourg Grand Cru,22
Nimbus Single Vineyard,22
Montmains Premier Cru,22
Red Willow Vineyard,22
del Comune di Serralunga d'Alba,22
White,22
Azul Portugal,22
Altosur,21
Genesis,21
Small Lot Blend,21
Anna Maria,21
Grande Reserve,21
Schlossberg Grand Cru,21
Millésime Brut,21
Ghielmetti Vineyard,21
Casillero del Diablo Reserva,21
Tondre Grapefield,21
Red,21
Signature Series,21
La Joya Gran Reserva,21
Terra d'Alter,21
Don David Reserve,21
Aliwen Reserva,21
Two Vines,21
Klipsun Vineyard,21
Grand'Arte,20
Hyde Vineyard,20
Alta,20
Hengst Grand Cru,20
Los Vascos,20
Piesporter Goldtröpfchen Kabinett,20
Trumpeter,20
Select,20
Castillo de Molina Reserva,20
Temperance Hill Vineyard,19
Grenache,19
Demi-Sec,19
10-Year-Old Tawny,19
Vaillons Premier Cru,19
Blanc de Noir,19
Cuvée Spéciale,19
Felino,19
Classic Collection,19
Sweet,19
Black Label,19
Steinert Grand Cru,19
Langenlois,19
Eichberg Grand Cru,19
Quintessence,19
Rodney's Vineyard,19
Momtazi Vineyard,18
Art Series,18
Cuvée G,18
Montée de Tonnerre Premier Cru,18
Ravera,18
Furstentum Grand Cru,18
Ingle Vineyard,18
Rocche dell'Annunziata,18
Cuvée Particulière,18
Auslese,18
Wehlener Sonnenuhr Spätlese,18
Terroir,17
Alte Reben Reserve,17
The Estates,17
Special Selection,17
Cellar Selection,17
Underwood Mountain Vineyard,17
Ice,17
Limited Selection,17
Bernkasteler Badstube Spätlese,17
Wehlener Sonnenuhr Auslese,17
Les Belles Vignes,17
Made With Organically Grown Grapes,17
Beerenauslese,17
Three Vineyard,17
Secreto,17
Grande Escolha,17
Armador,17
